dataset,dataset_version,split,image_filename,image_relative_path,image_sha256,file_size_bytes,width,height,channels,image_mode,exif_orientation,label_filename,label_relative_path,pairing_status,annotation_count,class_ids,class_names,validation_status,validation_issue_count,human_triage_outcome,repair_authorized
gyu_det,v3,train,10.JPG,data/raw/gyu_det/v3/extracted/train/train/images/10.JPG,fd6c7701b6b2b6f65dc87de8bd52449516a73b1802b25a82d21cdd1a8df7ce75,1502893,2736,1824,3,RGB,1,10.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10.txt,exact_pair,4,"[1, 2, 4]","[""Breakage"", ""Comb"", ""Reinforcement""]",valid,0,[],False
gyu_det,v3,train,1000.JPG,data/raw/gyu_det/v3/extracted/train/train/images/1000.JPG,2d02b5b7cf280320c7f4a73ca0aa1664a2a92764fb459b797a940df47a204884,2874412,2736,1824,3,RGB,1,1000.txt,data/raw/gyu_det/v3/extracted/train/train/labels/1000.txt,exact_pair,7,"[0, 1, 2, 4]","[""Crack"", ""Breakage"", ""Comb"", ""Reinforcement""]",valid,0,[],False
gyu_det,v3,train,10001.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10001.jpg,ffffe98a703ab9192913c7b37cc83285f123a6340941e8005365b68fec96ce97,3896849,4608,3456,3,RGB,1,10001.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10001.txt,exact_pair,6,"[1, 4]","[""Breakage"", ""Reinforcement""]",valid,0,[],False
gyu_det,v3,train,10002.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10002.jpg,ca681776c2e2b3087d8256ed24de50291a3dce241af8c34290a93086392b1e76,635874,2048,1536,3,RGB,1,10002.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10002.txt,exact_pair,1,[5],"[""Seepage""]",valid,0,[],False
gyu_det,v3,train,10003.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10003.jpg,2dd3b7cedc38bd04dbe1192b185e072986e0b3cbadcc00508df541a11f8a721e,1831555,2272,1704,3,RGB,1,,,image_without_label,,[],[],warning,1,"[{""candidate_review_status"": ""no_valid_match_in_reviewed_top5"", ""label_filename"": ""1800.txt"", ""label_split"": ""train"", ""role"": ""diagnostic_candidate_only"", ""tentative_preference"": false}]",False
gyu_det,v3,train,10004.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10004.jpg,2f801896ac1ad8e6242ed4ee2115e430cf159af8748eb468c7656c7efed03b90,2288969,2592,1944,3,RGB,1,10004.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10004.txt,exact_pair,1,[1],"[""Breakage""]",valid,0,[],False
gyu_det,v3,train,10005.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10005.jpg,9f3de40f0c295a80908181b8e4d1ad3b813f88ae07990af92131f3b707b997d7,6383104,4608,3456,3,RGB,1,10005.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10005.txt,exact_pair,11,"[1, 4]","[""Breakage"", ""Reinforcement""]",warning,1,[],False
gyu_det,v3,train,10006.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10006.jpg,6ca4f9a5787bdb611e4130b183a6e4d636beeff009c79d852001306367d5e37f,6305792,4608,3456,3,RGB,1,10006.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10006.txt,exact_pair,1,[1],"[""Breakage""]",warning,1,[],False
gyu_det,v3,train,10007.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10007.jpg,528a7e6a857afe899609aefa6838dc0e039a13bde581638e680b87720e6dedd4,6062080,6000,3376,3,RGB,1,10007.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10007.txt,exact_pair,1,[2],"[""Comb""]",valid,0,[],False
gyu_det,v3,train,10008.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10008.jpg,29a25f62e4893857bf5ea23044eca516780a7ce7707d5507adb5728b7ca97d32,3953856,3456,2304,3,RGB,1,10008.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10008.txt,exact_pair,7,"[0, 1]","[""Crack"", ""Breakage""]",valid,0,[],False
gyu_det,v3,train,10009.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10009.jpg,041f8731defb1aa8be613ca41ca71b0d98b0e1e6d1c3c373384b0d9b848c9788,3899672,4608,3456,3,RGB,1,10009.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10009.txt,exact_pair,5,"[2, 4]","[""Comb"", ""Reinforcement""]",valid,0,[],False
gyu_det,v3,train,1001.JPG,data/raw/gyu_det/v3/extracted/train/train/images/1001.JPG,06570c190ba37b55a507d165531ecc508ee2ecb991e513cc0b5649639373808f,3003876,2736,1824,3,RGB,1,1001.txt,data/raw/gyu_det/v3/extracted/train/train/labels/1001.txt,exact_pair,10,"[1, 2, 4]","[""Breakage"", ""Comb"", ""Reinforcement""]",valid,0,[],False
gyu_det,v3,train,10010.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10010.jpg,a6b25e1535e00cac887a015c6ee207fc8b338a80e154953cd753b876531f0953,31836,480,320,3,RGB,,10010.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10010.txt,exact_pair,8,"[0, 1]","[""Crack"", ""Breakage""]",warning,2,[],False
gyu_det,v3,train,10011.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10011.jpg,0a927877050388501d2a77dd9c8e840196d6a6a47b1b474ad9e2559202156c49,3048188,4608,3456,3,RGB,1,10011.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10011.txt,exact_pair,4,"[1, 4]","[""Breakage"", ""Reinforcement""]",valid,0,[],False
gyu_det,v3,train,10012.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10012.jpg,01bdd3ed8e23e100e04a0e852973a3a218340e6be5501690fc88103ceefc3260,890846,2048,1536,3,RGB,1,10012.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10012.txt,exact_pair,3,"[0, 3]","[""Crack"", ""Hole""]",valid,0,[],False
gyu_det,v3,train,10013.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10013.jpg,cda8e65e9bd724514e265e48c05f9dcdce8cd8388354acd9bbcb315c6eaafa8d,23712,480,320,3,RGB,,10013.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10013.txt,exact_pair,3,[0],"[""Crack""]",valid,0,[],False
gyu_det,v3,train,10014.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10014.jpg,01a4718e66e2000f83860891459ad059f2e33f792094659a18c52c2746123915,393146,1600,1200,3,RGB,1,10014.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10014.txt,exact_pair,4,[0],"[""Crack""]",valid,0,[],False
gyu_det,v3,train,10015.jpg,data/raw/gyu_det/v3/extracted/train/train/images/10015.jpg,a902cd08e00ffa2cce7cdf65adddc22d7b3f13344bac4ea469c710b975dd58de,1103930,2048,1536,3,RGB,1,10015.txt,data/raw/gyu_det/v3/extracted/train/train/labels/10015.txt,exact_pair,3,"[0, 2]","[""Crack"", ""Comb""]",warning,1,[],False
