class_name,size,instances,tp,fn,recall,fn_rate,tp_at_floor,recall_at_floor,share_of_all_fn
Breakage,large,327,164,163,0.5015290519877675,0.49847094801223246,294,0.8990825688073395,0.05763790664780764
Breakage,medium,1232,507,725,0.411525974025974,0.588474025974026,1087,0.8823051948051948,0.25636492220650636
Breakage,small,529,138,391,0.2608695652173913,0.7391304347826086,415,0.7844990548204159,0.13826025459688826
Breakage,tiny,41,1,40,0.024390243902439025,0.975609756097561,19,0.4634146341463415,0.014144271570014143
Crack,large,115,68,47,0.591304347826087,0.408695652173913,112,0.9739130434782609,0.01661951909476662
Crack,medium,185,79,106,0.42702702702702705,0.5729729729729729,175,0.9459459459459459,0.03748231966053748
Crack,small,55,5,50,0.09090909090909091,0.9090909090909091,41,0.7454545454545455,0.01768033946251768
Crack,tiny,11,1,10,0.09090909090909091,0.9090909090909091,1,0.09090909090909091,0.003536067892503536
Exposed Reinforcement,large,4,1,3,0.25,0.75,4,1.0,0.0010608203677510608
Exposed Reinforcement,medium,249,146,103,0.5863453815261044,0.4136546184738956,228,0.9156626506024096,0.03642149929278642
Exposed Reinforcement,small,665,396,269,0.5954887218045113,0.4045112781954887,624,0.9383458646616541,0.09512022630834512
Exposed Reinforcement,tiny,409,115,294,0.28117359413202936,0.7188264058679706,273,0.6674816625916871,0.10396039603960396
Hole,large,1,0,1,0.0,1.0,1,1.0,0.0003536067892503536
Hole,medium,22,6,16,0.2727272727272727,0.7272727272727273,14,0.6363636363636364,0.005657708628005658
Hole,small,65,33,32,0.5076923076923077,0.49230769230769234,57,0.8769230769230769,0.011315417256011316
Hole,tiny,140,55,85,0.39285714285714285,0.6071428571428572,103,0.7357142857142858,0.030056577086280057
Honeycombing,large,233,168,65,0.721030042918455,0.27896995708154504,226,0.9699570815450643,0.022984441301272984
Honeycombing,medium,197,83,114,0.4213197969543147,0.5786802030456852,169,0.8578680203045685,0.04031117397454031
Honeycombing,small,49,19,30,0.3877551020408163,0.6122448979591837,42,0.8571428571428571,0.010608203677510608
Seepage,large,63,24,39,0.38095238095238093,0.6190476190476191,51,0.8095238095238095,0.013790664780763792
Seepage,medium,215,52,163,0.24186046511627907,0.758139534883721,141,0.6558139534883721,0.05763790664780764
Seepage,small,88,18,70,0.20454545454545456,0.7954545454545454,56,0.6363636363636364,0.024752475247524754
Seepage,tiny,12,0,12,0.0,1.0,5,0.4166666666666667,0.004243281471004243
