class_name,requested_confidence,curve_grid_confidence,precision,recall,f1
Crack,0.001,0.001001001001001001,0.01395775068978308,0.8934426229508197,0.027486101502780778
Crack,0.05,0.050050050050050046,0.19027944272407402,0.6256830601092896,0.29181395857305054
Crack,0.1,0.10010010010010009,0.30086508916577454,0.5245901639344263,0.3824092604774072
Crack,0.18618618618618618,0.18618618618618618,0.46345548044577173,0.3907103825136612,0.4239852606978277
Crack,0.25,0.2502502502502503,0.5233747341889444,0.30601092896174864,0.386209686808072
Crack,0.5,0.4994994994994995,0.7390437390437391,0.1557377049180328,0.25726276853285035
Breakage,0.001,0.001001001001001001,0.027555769674349816,0.8515735086895256,0.053384101846540744
Breakage,0.05,0.050050050050050046,0.24017455464430976,0.5439173320807891,0.33321376029395156
Breakage,0.1,0.10010010010010009,0.33359814698166795,0.4575669296978206,0.3858701157738841
Breakage,0.18618618618618618,0.18618618618618618,0.45136603051099844,0.38046031000469704,0.41289113251052123
Breakage,0.25,0.2502502502502503,0.5144155907132768,0.3269140441521841,0.39977120540132755
Breakage,0.5,0.4994994994994995,0.7197852064374107,0.19545708225839742,0.3074314157915262
Honeycombing,0.001,0.001001001001001001,0.02041983598004776,0.906054279749478,0.03993955031746609
Honeycombing,0.05,0.050050050050050046,0.1871262950681122,0.7160751565762005,0.29671451655990366
Honeycombing,0.1,0.10010010010010009,0.2599476973356351,0.6388308977035491,0.3695295410048219
Honeycombing,0.18618618618618618,0.18618618618618618,0.3407275283081562,0.5594989561586639,0.42353052195713603
Honeycombing,0.25,0.2502502502502503,0.39904380447451615,0.5198329853862212,0.45149934021361393
Honeycombing,0.5,0.4994994994994995,0.5625847096449177,0.34237995824634654,0.4256911595169676
Hole,0.001,0.001001001001001001,0.04323289607494359,0.7675438596491229,0.08185519301805172
Hole,0.05,0.050050050050050046,0.29227123559340085,0.6052631578947368,0.39419327504444296
Hole,0.1,0.10010010010010009,0.40745961981445056,0.5087719298245614,0.45251447012549667
Hole,0.18618618618618618,0.18618618618618618,0.5504310295847963,0.41228070175438597,0.47144349395002094
Hole,0.25,0.2502502502502503,0.6539899137403914,0.35526315789473684,0.46041677457626706
Hole,0.5,0.4994994994994995,0.7823410992692038,0.17343293585983643,0.28392425134618965
Exposed Reinforcement,0.001,0.001001001001001001,0.03852651565345473,0.8447626224566692,0.07369220110000423
Exposed Reinforcement,0.05,0.050050050050050046,0.33340046016693253,0.6322532027128862,0.43658201036146765
Exposed Reinforcement,0.1,0.10010010010010009,0.46883687449045924,0.584777694046722,0.5204281613707169
Exposed Reinforcement,0.18618618618618618,0.18618618618618618,0.6062583578213946,0.48681235870384326,0.5400090894268091
Exposed Reinforcement,0.25,0.2502502502502503,0.6832708835551866,0.4340555074039123,0.5308699274547477
Exposed Reinforcement,0.5,0.4994994994994995,0.8675846732018803,0.26168519687735964,0.40209000882788626
Seepage,0.001,0.001001001001001001,0.03302622027682465,0.6688983957502476,0.06294461045090424
Seepage,0.05,0.050050050050050046,0.24857510847637665,0.36507936507936506,0.2957678846574776
Seepage,0.1,0.10010010010010009,0.34179725977445785,0.3148148148148148,0.3277516366338994
Seepage,0.18618618618618618,0.18618618618618618,0.42115009912095114,0.24867724867724866,0.3127087846556574
Seepage,0.25,0.2502502502502503,0.4800944689406228,0.21428571428571427,0.29631429204548176
Seepage,0.5,0.4994994994994995,0.6880117955793631,0.1349206349206349,0.22560051069090528
