density,size,instances,tp,fn,recall,fn_rate,tp_at_floor,recall_at_floor,share_of_all_fn
dense_7_plus,large,131,67,64,0.5114503816793893,0.4885496183206107,116,0.8854961832061069,0.02263083451202263
dense_7_plus,medium,849,347,502,0.408716136631331,0.591283863368669,729,0.8586572438162544,0.1775106082036775
dense_7_plus,small,898,376,522,0.41870824053452116,0.5812917594654788,763,0.8496659242761693,0.18458274398868457
dense_7_plus,tiny,506,125,381,0.24703557312252963,0.7529644268774703,311,0.6146245059288538,0.1347241867043847
sparse_1_2,large,217,138,79,0.6359447004608295,0.3640552995391705,203,0.9354838709677419,0.027934936350777935
sparse_1_2,medium,212,95,117,0.4481132075471698,0.5518867924528301,182,0.8584905660377359,0.04137199434229137
sparse_1_2,small,74,33,41,0.44594594594594594,0.5540540540540541,64,0.8648648648648649,0.014497878359264497
sparse_1_2,tiny,9,1,8,0.1111111111111111,0.8888888888888888,7,0.7777777777777778,0.002828854314002829
typical_3_6,large,395,220,175,0.5569620253164557,0.44303797468354433,369,0.9341772151898734,0.06188118811881188
typical_3_6,medium,1039,431,608,0.41482194417709334,0.5851780558229067,903,0.8691049085659288,0.214992927864215
typical_3_6,small,479,200,279,0.4175365344467641,0.5824634655532359,408,0.8517745302713987,0.09865629420084866
typical_3_6,tiny,98,46,52,0.46938775510204084,0.5306122448979591,83,0.8469387755102041,0.018387553041018388
