epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1.0,1578.08,1.87583,4.11411,0.01496,0.2903,0.17668,0.16109,0.08337,1.68904,2.95436,0.01645,0.00333173,0.00333173,0.0700144
10.0,11981.6,1.87118,2.59527,0.01491,0.4034,0.32427,0.2994,0.15386,1.74581,2.38171,0.01747,0.009109,0.009109,0.009109
20.0,21989.3,1.79501,2.38615,0.01381,0.41884,0.35242,0.32765,0.17202,1.68546,2.19363,0.01665,0.008119,0.008119,0.008119
30.0,31315.1,1.74331,2.23218,0.01306,0.44643,0.35978,0.3487,0.18576,1.64707,2.14293,0.01627,0.007129,0.007129,0.007129
40.0,40630.2,1.68995,2.08476,0.01252,0.44676,0.3931,0.37046,0.20542,1.62048,2.05018,0.01563,0.006139,0.006139,0.006139
50.0,49965.0,1.66534,1.97366,0.01219,0.47033,0.39943,0.37668,0.21018,1.60487,2.05613,0.01546,0.005149,0.005149,0.005149
60.0,59342.7,1.62002,1.83843,0.01165,0.49097,0.40809,0.38868,0.21571,1.62233,2.06724,0.0155,0.004159,0.004159,0.004159
62.0,61263.8,1.6073,1.82505,0.01136,0.46749,0.41435,0.38836,0.21702,1.6183,2.07933,0.01552,0.003961,0.003961,0.003961
70.0,69209.4,1.57053,1.69256,0.01114,0.45556,0.41204,0.37755,0.20861,1.63266,2.10406,0.01564,0.003169,0.003169,0.003169
80.0,79311.4,1.53367,1.57644,0.01065,0.46959,0.41691,0.37981,0.20856,1.64646,2.16527,0.01568,0.002179,0.002179,0.002179
89.0,88052.5,1.48605,1.46594,0.01018,0.45702,0.41201,0.37559,0.20417,1.65553,2.22761,0.01588,0.001288,0.001288,0.001288
90.0,89031.5,1.48514,1.46146,0.01019,0.46609,0.40685,0.37429,0.20378,1.65845,2.23105,0.01593,0.001189,0.001189,0.001189
91.0,89982.5,1.44335,1.23719,0.01144,0.4611,0.41574,0.37457,0.20399,1.65839,2.24329,0.01596,0.00109,0.00109,0.00109
92.0,90893.4,1.43154,1.18442,0.01112,0.45364,0.42345,0.3745,0.20372,1.66069,2.25122,0.01595,0.000991,0.000991,0.000991
