resolution,size,instances,tp,fn,recall,fn_rate,tp_at_floor,recall_at_floor,share_of_all_fn
12MP_plus,large,486,282,204,0.5802469135802469,0.41975308641975306,443,0.911522633744856,0.07213578500707214
12MP_plus,medium,1702,693,1009,0.4071680376028202,0.5928319623971798,1467,0.8619271445358402,0.3567892503536068
12MP_plus,small,1221,513,708,0.4201474201474201,0.5798525798525799,1037,0.8493038493038493,0.25035360678925034
12MP_plus,tiny,569,151,418,0.26537785588752194,0.7346221441124781,366,0.6432337434094904,0.1478076379066478
1_to_4MP,large,142,80,62,0.5633802816901409,0.43661971830985913,141,0.9929577464788732,0.021923620933521924
1_to_4MP,medium,139,69,70,0.49640287769784175,0.5035971223021583,130,0.935251798561151,0.024752475247524754
1_to_4MP,small,61,39,22,0.639344262295082,0.360655737704918,59,0.9672131147540983,0.007779349363507779
1_to_4MP,tiny,2,0,2,0.0,1.0,2,1.0,0.0007072135785007072
4_to_12MP,large,70,39,31,0.5571428571428572,0.44285714285714284,67,0.9571428571428572,0.010961810466760962
4_to_12MP,medium,182,78,104,0.42857142857142855,0.5714285714285714,149,0.8186813186813187,0.036775106082036775
4_to_12MP,small,109,31,78,0.28440366972477066,0.7155963302752293,81,0.7431192660550459,0.027581329561527583
4_to_12MP,tiny,40,19,21,0.475,0.525,31,0.775,0.007425742574257425
<1MP,large,45,24,21,0.5333333333333333,0.4666666666666667,37,0.8222222222222222,0.007425742574257425
<1MP,medium,77,33,44,0.42857142857142855,0.5714285714285714,68,0.8831168831168831,0.015558698727015558
<1MP,small,60,26,34,0.43333333333333335,0.5666666666666667,58,0.9666666666666667,0.012022630834512023
<1MP,tiny,2,2,0,1.0,0.0,2,1.0,0.0
