split,annotation_bin,exact_pair_images,percent
all,0_explicit_empty_label,0,0.0
all,1,1723,16.549803092882527
all,2-5,5668,54.44241667467102
all,6-10,2258,21.688598597637114
all,11-20,686,6.589184516376909
all,>20,76,0.7299971184324272
train,0_explicit_empty_label,0,0.0
train,1,1437,17.28409910993505
train,2-5,4566,54.919413038248734
train,6-10,1741,20.940582150589368
train,11-20,516,6.206398845321145
train,>20,54,0.6495068559057012
valid,0_explicit_empty_label,0,0.0
valid,1,170,16.28352490421456
valid,2-5,570,54.59770114942529
valid,6-10,229,21.93486590038314
valid,11-20,68,6.513409961685824
valid,>20,7,0.6704980842911877
test,0_explicit_empty_label,0,0.0
test,1,116,11.016144349477683
test,2-5,532,50.522317188983855
test,6-10,288,27.35042735042735
test,11-20,102,9.686609686609687
test,>20,15,1.4245014245014245
