split,image_filename,pairing_status,width,height,megapixels,image_aspect_ratio,orientation,annotation_count,class_ids
train,3902.JPG,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,72,1;4
valid,12254.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,59,0;1;4
valid,8943.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,42,1;3;4
train,8050.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,41,1;4
train,10623.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,39,2;4
train,3067.JPG,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,39,1;2;4
train,8068.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,36,1;2;4
train,6192.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,35,1;4
train,3796.JPG,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,34,1;4;5
train,9783.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,34,2;4
train,11466.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,33,2;4
test,7535.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,32,0;1;4;5
train,7150.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,32,0;1;4;5
test,7602.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,31,1;4
test,7652.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,31,1;4
train,10436.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,31,4
train,11701.jpg,exact_pair,550,413,0.22715,1.3317191283292977,landscape,31,1;4
train,6892.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,31,1;4
test,7601.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,30,1;4
train,2232.JPG,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,30,2;4
train,8069.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,30,1;2;4
test,7649.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,29,1;4
train,36.JPG,exact_pair,2736,1824,4.990464,1.5,landscape,29,1;2;4
train,3903.JPG,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,29,1;3;4
test,12669.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,28,1;4
valid,12305.jpg,exact_pair,550,413,0.22715,1.3317191283292977,landscape,28,1;3;4
test,7572.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,27,1;4
test,7885.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,27,1;4
train,10061.jpg,exact_pair,4608,3456,15.925248,1.3333333333333333,landscape,27,1;2;4
train,6951.JPG,exact_pair,5184,3888,20.155392,1.3333333333333333,landscape,27,1;3;4
