view,split,orientation,aspect_min,aspect_max,images,percent
RAW_VALIDATED_INVENTORY,all,landscape,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,all,landscape,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,all,landscape,1,1.5,9598,86.28967005304324
RAW_VALIDATED_INVENTORY,all,landscape,1.5,2,1325,11.912253888339476
RAW_VALIDATED_INVENTORY,all,landscape,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,all,portrait,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,all,portrait,0.5,1,200,1.7980760586172795
RAW_VALIDATED_INVENTORY,all,portrait,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,all,portrait,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,all,portrait,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,all,square,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,all,square,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,all,square,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,all,square,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,all,square,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,train,landscape,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,train,landscape,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,train,landscape,1,1.5,7627,85.71589121150821
RAW_VALIDATED_INVENTORY,train,landscape,1.5,2,1139,12.800629354911216
RAW_VALIDATED_INVENTORY,train,landscape,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,train,portrait,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,train,portrait,0.5,1,132,1.4834794335805799
RAW_VALIDATED_INVENTORY,train,portrait,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,train,portrait,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,train,portrait,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,train,square,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,train,square,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,train,square,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,train,square,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,train,square,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,valid,landscape,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,valid,landscape,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,valid,landscape,1,1.5,941,84.62230215827338
RAW_VALIDATED_INVENTORY,valid,landscape,1.5,2,115,10.341726618705035
RAW_VALIDATED_INVENTORY,valid,landscape,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,valid,portrait,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,valid,portrait,0.5,1,56,5.0359712230215825
RAW_VALIDATED_INVENTORY,valid,portrait,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,valid,portrait,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,valid,portrait,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,valid,square,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,valid,square,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,valid,square,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,valid,square,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,valid,square,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,test,landscape,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,test,landscape,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,test,landscape,1,1.5,1030,92.54267744833783
RAW_VALIDATED_INVENTORY,test,landscape,1.5,2,71,6.379155435759209
RAW_VALIDATED_INVENTORY,test,landscape,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,test,portrait,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,test,portrait,0.5,1,12,1.0781671159029649
RAW_VALIDATED_INVENTORY,test,portrait,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,test,portrait,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,test,portrait,2,inf,0,0.0
RAW_VALIDATED_INVENTORY,test,square,0,0.5,0,0.0
RAW_VALIDATED_INVENTORY,test,square,0.5,1,0,0.0
RAW_VALIDATED_INVENTORY,test,square,1,1.5,0,0.0
RAW_VALIDATED_INVENTORY,test,square,1.5,2,0,0.0
RAW_VALIDATED_INVENTORY,test,square,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,landscape,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,landscape,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,landscape,1,1.5,9037,86.80242051676112
PROVISIONAL_BASELINE_ELIGIBLE,all,landscape,1.5,2,1198,11.50705984055326
PROVISIONAL_BASELINE_ELIGIBLE,all,landscape,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,portrait,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,portrait,0.5,1,176,1.690519642685621
PROVISIONAL_BASELINE_ELIGIBLE,all,portrait,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,portrait,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,portrait,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,square,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,square,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,square,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,square,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,all,square,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,landscape,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,landscape,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,landscape,1,1.5,7156,86.07168631224441
PROVISIONAL_BASELINE_ELIGIBLE,train,landscape,1.5,2,1037,12.472937214337263
PROVISIONAL_BASELINE_ELIGIBLE,train,landscape,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,portrait,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,portrait,0.5,1,121,1.4553764734183305
PROVISIONAL_BASELINE_ELIGIBLE,train,portrait,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,portrait,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,portrait,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,square,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,square,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,square,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,square,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,train,square,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,landscape,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,landscape,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,landscape,1,1.5,895,85.727969348659
PROVISIONAL_BASELINE_ELIGIBLE,valid,landscape,1.5,2,104,9.96168582375479
PROVISIONAL_BASELINE_ELIGIBLE,valid,landscape,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,portrait,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,portrait,0.5,1,45,4.310344827586207
PROVISIONAL_BASELINE_ELIGIBLE,valid,portrait,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,portrait,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,portrait,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,square,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,square,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,square,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,square,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,square,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,landscape,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,landscape,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,landscape,1,1.5,986,93.6372269705603
PROVISIONAL_BASELINE_ELIGIBLE,test,landscape,1.5,2,57,5.413105413105413
PROVISIONAL_BASELINE_ELIGIBLE,test,landscape,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,portrait,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,portrait,0.5,1,10,0.949667616334283
PROVISIONAL_BASELINE_ELIGIBLE,test,portrait,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,portrait,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,portrait,2,inf,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,square,0,0.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,square,0.5,1,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,square,1,1.5,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,square,1.5,2,0,0.0
PROVISIONAL_BASELINE_ELIGIBLE,test,square,2,inf,0,0.0
