example_type,split,image_filename,label_filename,annotation_index,class_id,class_name,normalized_width,normalized_height,normalized_area,pixel_width,pixel_height,pixel_area,aspect_ratio,relative_image_area,normalized_aspect_ratio,size_category,near_border,boundary_excess,rounding_warning,extreme_aspect_ratio
smallest,test,7442.JPG,7442.txt,10,4,Reinforcement,0.002122,0.004115,8.73203e-06,11.000448,15.99912,175.99748760576,0.6875658161198867,8.73203e-06,0.515674362089915,tiny,False,0.0,False,False
smallest,test,7769.JPG,7769.txt,3,4,Reinforcement,0.002122,0.005401,1.1460922000000003e-05,11.000448,20.999088,230.99937559142404,0.5238536073566623,1.1460922000000003e-05,0.39289020551749676,tiny,False,0.0,False,False
smallest,test,7376.JPG,7376.txt,4,4,Reinforcement,0.003665,0.003858,1.4139569999999999e-05,18.99936,14.999903999999999,284.98857606143997,1.2666321064454813,1.4139569999999999e-05,0.949974079834111,tiny,False,0.0,False,False
smallest,test,7583.JPG,7583.txt,12,4,Reinforcement,0.002894,0.005144,1.4886736e-05,15.002495999999999,19.999872,300.04799968051196,0.7501296008294452,1.4886736e-05,0.562597200622084,tiny,False,0.0,False,False
smallest,train,8069.JPG,8069.txt,27,4,Reinforcement,0.002572,0.006366,1.6373352e-05,13.333248000000001,24.751008,330.011327913984,0.5386951513247461,1.6373352e-05,0.40402136349355955,tiny,False,0.0,False,False
smallest,test,7586.JPG,7586.txt,7,4,Reinforcement,0.004051,0.00463,1.8756129999999997e-05,21.000384,18.00144,378.0371525529599,1.166594672426206,1.8756129999999997e-05,0.8749460043196545,tiny,False,0.0,False,False
smallest,valid,8985.JPG,8985.txt,11,4,Reinforcement,0.003665,0.005401,1.9794665e-05,18.99936,20.999088,398.96923258367997,0.9047707214713324,1.9794665e-05,0.6785780411034993,tiny,False,0.0,False,False
smallest,test,7573.JPG,7573.txt,17,4,Reinforcement,0.003086,0.00643,1.984298e-05,15.997824000000001,24.99984,399.94304034816,0.6399170554691551,1.984298e-05,0.4799377916018663,tiny,False,0.0,False,False
smallest,test,7594.JPG,7594.txt,7,4,Reinforcement,0.00135,0.014918,2.0139300000000002e-05,6.9984,58.001184,405.91548610560005,0.12065960584528757,2.0139300000000002e-05,0.09049470438396567,tiny,False,0.0,False,False
smallest,train,8217.JPG,8217.txt,12,4,Reinforcement,0.003472,0.005916,2.0540352e-05,17.998848,23.001408,413.998846377984,0.7825107054315978,2.0540352e-05,0.5868830290736984,tiny,False,0.0,False,False
smallest,test,7632.JPG,7632.txt,3,3,Hole,0.004557,0.004919,2.2415883e-05,20.998656,17.000064,356.978495913984,1.2352104086196383,2.2415883e-05,0.9264078064647288,tiny,False,0.0,False,False
smallest,test,7442.JPG,7442.txt,9,4,Reinforcement,0.005594,0.004115,2.301931e-05,28.999296,15.99912,463.96321661952,1.8125556905629812,2.301931e-05,1.3594167679222358,tiny,False,0.0,False,False
smallest,train,8472.JPG,8472.txt,13,4,Reinforcement,0.003279,0.007716,2.5300763999999998e-05,16.998336,29.999807999999998,509.946816319488,0.5666148263348886,2.5300763999999998e-05,0.4249611197511664,tiny,False,0.0,False,False
smallest,test,7573.JPG,7573.txt,12,4,Reinforcement,0.003472,0.007459,2.5897648e-05,17.998848,29.000592,521.977247318016,0.6206372614738347,2.5897648e-05,0.465477946105376,tiny,False,0.0,False,False
smallest,train,8069.JPG,8069.txt,26,4,Reinforcement,0.004115,0.006366,2.6196089999999997e-05,21.33216,24.751008,527.9924628172799,0.8618703529165357,2.6196089999999997e-05,0.6464027646874018,tiny,False,0.0,False,False
smallest,test,7769.JPG,7769.txt,2,4,Reinforcement,0.002315,0.011574,2.6793809999999995e-05,12.00096,44.999711999999995,540.0397437235199,0.26668970681412363,2.6793809999999995e-05,0.2000172801105927,tiny,False,0.0,False,False
smallest,test,7573.JPG,7573.txt,13,4,Reinforcement,0.003279,0.008488,2.7832152e-05,16.998336,33.001344,560.9679337635839,0.5150801131008481,2.7832152e-05,0.3863100848256361,tiny,False,0.0,False,False
smallest,test,7626.JPG,7626.txt,6,4,Reinforcement,0.004887,0.005787,2.8281068999999998e-05,25.334208,22.499855999999998,570.0160318740479,1.12597200622084,2.8281068999999998e-05,0.8444790046656299,tiny,False,0.0,False,False
smallest,train,8068.JPG,8068.txt,21,4,Reinforcement,0.003858,0.007523,2.9023734e-05,19.999872,29.249424,584.984736073728,0.6837697726970623,2.9023734e-05,0.5128273295227967,tiny,False,0.0,False,False
smallest,test,7602.JPG,7602.txt,18,4,Reinforcement,0.003858,0.007716,2.9768327999999997e-05,19.999872,29.999807999999998,599.992320024576,0.6666666666666667,2.9768327999999997e-05,0.5,tiny,False,0.0,False,False
largest,train,10007.jpg,10007.txt,1,2,Comb,1.0,1.0,1.0,6000.0,3376.0,20256000.0,1.7772511848341233,1.0,1.0,large,True,0.0,False,False
largest,train,10054.jpg,10054.txt,1,2,Comb,1.0,1.0,1.0,1600.0,1200.0,1920000.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,10385.jpg,10385.txt,1,2,Comb,1.0,1.0,1.0,2048.0,1536.0,3145728.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,11014.jpg,11014.txt,2,0,Crack,1.0,1.0,1.0,1600.0,1200.0,1920000.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,11096.jpg,11096.txt,1,2,Comb,1.0,1.0,1.0,4608.0,3456.0,15925248.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,11146.jpg,11146.txt,1,2,Comb,1.0,1.0,1.0,1600.0,1200.0,1920000.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,9426.jpg,9426.txt,1,2,Comb,1.0,1.0,1.0,2048.0,1536.0,3145728.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,9815.jpg,9815.txt,1,1,Breakage,1.0,1.0,1.0,3648.0,2736.0,9980928.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,valid,12054.jpg,12054.txt,1,2,Comb,1.0,1.0,1.0,1600.0,1200.0,1920000.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,valid,12309.jpg,12309.txt,1,2,Comb,1.0,1.0,1.0,2048.0,1536.0,3145728.0,1.3333333333333333,1.0,1.0,large,True,0.0,False,False
largest,train,11753.jpg,11753.txt,1,2,Comb,0.99996,1.0,0.99996,2047.91808,1536.0,3145602.17088,1.33328,0.99996,0.99996,large,True,0.0,False,False
largest,train,10328.jpg,10328.txt,3,0,Crack,0.999896,1.0,0.999896,1599.8336,1200.0,1919800.3199999998,1.3331946666666665,0.999896,0.999896,large,True,0.0,False,False
largest,train,10971.jpg,10971.txt,2,2,Comb,0.999841,1.0,0.999841,1599.7456,1200.0,1919694.72,1.3331213333333334,0.999841,0.999841,large,True,5.00000000069889e-07,True,False
largest,train,11692.jpg,11692.txt,1,2,Comb,1.0,0.999819,0.999819,3456.0,2303.582976,7961182.765056,1.5002715491503962,0.999819,1.0001810327669307,large,True,5.00000000069889e-07,True,False
largest,train,11218.jpg,11218.txt,1,2,Comb,0.999768,1.0,0.999768,5998.608,4000.0,23994432.0,1.499652,0.999768,0.999768,large,True,0.0,False,False
largest,test,12453.jpg,12453.txt,2,2,Comb,0.999567,1.0,0.999567,4606.004736,3456.0,15918352.367616,1.332756,0.999567,0.999567,large,True,0.0,False,False
largest,train,4646.JPG,4646.txt,1,2,Comb,0.999743,0.999807,0.999550049601,5182.667712,3887.249616,20146323.0733276,1.3332479835274875,0.999550049601,0.9999359876456156,large,True,5.00000000069889e-07,True,False
largest,train,4647.JPG,4647.txt,4,2,Comb,0.999743,0.999807,0.999550049601,5182.667712,3887.249616,20146323.0733276,1.3332479835274875,0.999550049601,0.9999359876456156,large,True,5.00000000069889e-07,True,False
largest,train,10502.jpg,10502.txt,1,2,Comb,0.999475,1.0,0.999475,2046.9248,1536.0,3144076.4928,1.3326333333333333,0.999475,0.999475,large,True,0.0,False,False
