group_type,group,size_category,box_count,percent
all,all,tiny,4610,9.515553078622
all,all,small,16029,33.0856399777076
all,all,medium,20287,41.87462587982744
all,all,large,7521,15.524181063842962
class,Crack,tiny,104,2.238003012696363
class,Crack,small,973,20.938239724553476
class,Crack,medium,2124,45.70690768237573
class,Crack,large,1446,31.116849580374435
class,Breakage,tiny,435,2.2695257473783066
class,Breakage,small,6075,31.695100954766005
class,Breakage,medium,10116,52.77821255282517
class,Breakage,large,2541,13.257160745030522
class,Comb,tiny,5,0.08753501400560224
class,Comb,small,518,9.068627450980392
class,Comb,medium,2609,45.67577030812325
class,Comb,large,2580,45.168067226890756
class,Hole,tiny,380,30.969845150774248
class,Hole,small,571,46.536267318663405
class,Hole,medium,257,20.945395273023635
class,Hole,large,19,1.5484922575387123
class,Reinforcement,tiny,3587,26.913265306122447
class,Reinforcement,small,6859,51.46308523409364
class,Reinforcement,medium,2810,21.08343337334934
class,Reinforcement,large,72,0.5402160864345739
class,Seepage,tiny,99,2.267521759047183
class,Seepage,small,1033,23.660100778744848
class,Seepage,medium,2371,54.306000916170404
class,Seepage,large,863,19.766376546037563
split,train,tiny,3340,8.875425170068027
split,train,small,12574,33.413052721088434
split,train,medium,15522,41.2468112244898
split,train,large,6196,16.464710884353742
split,valid,tiny,617,12.517752079529316
split,valid,small,1458,29.580036518563602
split,valid,medium,2109,42.78758368837492
split,valid,large,745,15.114627713532157
split,test,tiny,653,11.09412164458036
split,test,small,1997,33.92796466190961
split,test,medium,2656,45.12402310567448
split,test,large,580,9.853890587835542
