group,metric,count,mean,min,p01,p05,p25,median,p75,p95,p99,max
Crack,normalized_width,4647,0.31997357077684524,0.003472,0.01312082,0.024949,0.066872,0.154321,0.5440765000000001,0.9946624,0.99999126,1.0
Crack,normalized_height,4647,0.3041627464600818,0.006076,0.01933462,0.037946400000000005,0.10686000000000001,0.201858,0.426752,0.9402503999999998,1.0,1.0
Crack,normalized_area,4647,0.0920914634360186,0.00016641429000000002,0.00061068213842,0.001701709680052,0.011233604502000002,0.042842254424,0.12227989020550001,0.3321321455126999,0.6743971835642798,1.0
Crack,pixel_width,4647,1065.559897118356,8.999706,41.96941632,87.99909120000001,229.91286399999998,478.001664,1370.151936,4189.1374368,4602.68522496,5997.204000000001
Crack,pixel_height,4647,738.1421072324509,20.99994,45.00110592,77.32273104000001,250.168272,507.52051200000005,1006.599072,2239.1167592,3391.4844748799997,3952.2400000000002
Crack,pixel_area,4647,785370.1251143763,383.99906399868,4632.884412538799,17112.75937225805,89631.73633456897,285679.7813864006,866841.7100885913,3121212.690893225,6947221.990222435,15242437.53622831
Crack,aspect_ratio,4647,2.8676585421976992,0.02884521153846154,0.10090920907197544,0.15001609161101856,0.313888808028581,0.9319295229909756,4.639873133969622,10.245238443185535,14.604218210270965,39.91983513652756
Crack,relative_image_area,4647,0.0920914634360186,0.00016641429000000002,0.00061068213842,0.001701709680052,0.011233604502000002,0.042842254424,0.12227989020550001,0.3321321455126999,0.6743971835642798,1.0
Breakage,normalized_width,19167,0.22175479678092552,0.003279,0.01879712,0.03588,0.08044,0.148534,0.279971,0.7093752000000003,0.998457,1.0
Breakage,normalized_height,19167,0.17163566997443525,0.007137,0.01879712,0.03215,0.0690475,0.120113,0.2198765,0.47088770000000013,0.8576111200000002,1.0
Breakage,normalized_area,19167,0.052539812624862,3.4577055e-05,0.0005883915568800001,0.0016439510151000003,0.006815375538999999,0.018156332525999998,0.048972709147000006,0.2333257643614001,0.5132675303298005,1.0
Breakage,pixel_width,19167,989.8550442618249,16.998336,65.99750399999999,133.000704,336.998116,656.999424,1250.002368,3127.6995264000007,5168.34058752,6000.0
Breakage,pixel_height,19167,556.34702252005,16.9304164,50.8245648,94.9987872,218.999376,392.891136,714.999312,1543.0003199999999,2579.2770124800004,4456.000512
Breakage,pixel_area,19167,773447.2978633364,358.612376845338,4720.507366111949,17685.9425473536,89152.13747559674,266086.76358187,742032.5169597557,3364900.220134212,7965057.621239734,19924771.491681103
Breakage,aspect_ratio,19167,2.380898567570577,0.05159911743703214,0.19238845638712265,0.3686851329732164,0.9539205908599522,1.6666553971563272,2.933945239883714,6.797890409238063,12.134429831833769,56.315965994429625
Breakage,relative_image_area,19167,0.052539812624862,3.4577055e-05,0.0005883915568800001,0.0016439510151000003,0.006815375538999999,0.018156332525999998,0.048972709147000006,0.2333257643614001,0.5132675303298005,1.0
Comb,normalized_width,5712,0.3820224536764706,0.007595,0.043403,0.071657475,0.168129,0.29411149999999997,0.52117775,0.9964318999999999,0.999807,1.0
Comb,normalized_height,5712,0.33701854374999995,0.022569,0.044723887,0.07012388,0.151588,0.2652025,0.44195425,0.9184906499999999,1.0,1.0
Comb,normalized_area,5712,0.1627527853061234,0.00028569352,0.0025520441082075,0.0065425702498899995,0.0285462058055,0.0837320643185,0.210365224194,0.6409992535484998,0.9873762982710004,1.0
Comb,pixel_width,5712,1406.148776058561,14.766147199999999,76.00896707199999,172.9991736,525.9987,1045.166976,1922.332032,4139.699788799999,5151.000512,6000.0
Comb,pixel_height,5712,914.5536091696603,16.163534799999997,56.3666257,122.64502320000001,356.061252,700.3751520000001,1230.00012,2572.500254399998,3455.2500480000003,4000.0
Comb,pixel_area,5712,1797103.7573344859,606.332261493504,4960.087974518069,23768.374836958337,213760.41069634215,767446.7748675464,2153970.772391209,7178006.132158179,14588026.599225769,23994432.0
Comb,aspect_ratio,5712,1.9072699253927183,0.09508089808138533,0.25257237126415577,0.44563624012570896,0.977400678073945,1.5170344454122586,2.417346956533037,4.468297131398608,7.172900446698025,21.384951540325375
Comb,relative_image_area,5712,0.1627527853061234,0.00028569352,0.0025520441082075,0.0065425702498899995,0.0285462058055,0.0837320643185,0.210365224194,0.6409992535484998,0.9873762982710004,1.0
Hole,normalized_width,1227,0.07375224482477588,0.004557,0.00863828,0.011943200000000001,0.0238132,0.047068,0.096126,0.227856,0.3963953,0.584795
Hole,normalized_height,1227,0.07762131328443357,0.004919,0.009259,0.0140071,0.029033450000000002,0.0521228,0.090021,0.22997690000000007,0.4245875,0.993827
Hole,normalized_area,1227,0.010517660861500676,2.2415883e-05,9.364899942e-05,0.0001790821736,0.00073941520892,0.0024770116849999997,0.008424293692500001,0.04737244481550002,0.12788850627768,0.34436717891400004
Hole,pixel_width,1227,294.9366463819071,13.370624,23.567487899999996,45.300888,91.99872,175.8496,359.5871168,942.3996864000001,1597.65923232,2914.6677120000004
Hole,pixel_height,1227,224.8213622403423,13.116983999999999,23.756876256,41.999827200000006,79.000704,144.0,271.500984,704.0261328000003,1203.7195468800003,3863.999376
Hole,pixel_area,1227,128677.57257174252,175.382261078016,603.0959064142351,2136.3239370110973,7181.843904147456,25751.671296491524,99052.23864483839,578731.3371587547,1592038.2963564678,4520761.325119143
Hole,aspect_ratio,1227,1.3695060803040502,0.18607665116765795,0.41690766264127543,0.6573823468959232,0.9660106901017869,1.1543638333425146,1.5797682126600634,2.7869431970527567,4.161975472861325,5.960121841070183
Hole,relative_image_area,1227,0.010517660861500676,2.2415883e-05,9.364899942e-05,0.0001790821736,0.00073941520892,0.0024770116849999997,0.008424293692500001,0.04737244481550002,0.12788850627768,0.34436717891400004
Reinforcement,normalized_width,13328,0.08085691351965785,0.00135,0.005144,0.008681,0.021267,0.04275,0.0984649,0.2897588,0.490668,1.0
Reinforcement,normalized_height,13328,0.09833841336359542,0.002122,0.007137,0.011936,0.028509,0.057002,0.119518,0.32966514999999996,0.5970676699999997,0.800669
