split,class_id,class_name,exact_pair_annotation_instances,orphan_annotation_instances,total_raw_annotation_instances,exact_pair_images_containing_class,percent_exact_pair_images,instance_share_percent,majority_to_class_instance_ratio,class_to_minority_instance_ratio
train,0,Crack,3877,6,3883,1627,19.569401010344,10.302402210884354,3.455764766572092,4.177801724137931
train,1,Breakage,13398,19,13417,5546,66.70675968246331,35.60267857142857,1.0,14.4375
train,2,Comb,4952,4,4956,2767,33.28121241279769,13.159013605442176,2.705573505654281,5.336206896551724
train,3,Hole,928,2,930,689,8.287226365167188,2.4659863945578233,14.4375,1.0
train,4,Reinforcement,10612,46,10658,3064,36.853500120279044,28.199404761904763,1.262532981530343,11.435344827586206
train,5,Seepage,3865,6,3871,1590,19.124368535001203,10.270514455782314,3.4664941785252266,4.164870689655173
valid,0,Crack,366,0,366,146,13.984674329501916,7.425441265976872,5.8497267759562845,1.5913043478260869
valid,1,Breakage,2141,0,2141,765,73.27586206896552,43.43680259687564,1.0,9.308695652173913
valid,2,Comb,479,0,479,302,28.9272030651341,9.717995536620004,4.469728601252609,2.082608695652174
valid,3,Hole,230,0,230,108,10.344827586206897,4.666260904848854,9.308695652173913,1.0
valid,4,Reinforcement,1335,0,1335,334,31.992337164750957,27.084601339014,1.60374531835206,5.804347826086956
valid,5,Seepage,378,1,379,167,15.996168582375478,7.668898356664638,5.664021164021164,1.6434782608695653
test,0,Crack,404,0,404,150,14.245014245014245,6.863744478423378,8.98019801980198,5.855072463768116
test,1,Breakage,3628,0,3628,857,81.38651471984805,61.63778457356439,1.0,52.57971014492754
test,2,Comb,281,0,281,139,13.200379867046534,4.774040095141013,12.911032028469752,4.072463768115942
test,3,Hole,69,0,69,55,5.223171889838556,1.1722731906218145,52.57971014492754,1.0
test,4,Reinforcement,1381,0,1381,389,36.94207027540361,23.46245327896704,2.6270818247646632,20.014492753623188
test,5,Seepage,123,0,123,59,5.60303893637227,2.0897043832823647,29.495934959349594,1.7826086956521738
