sample_index,timestamp_ns,relative_to_start_s,translation_error_m,error_x_m,error_y_m,error_z_m,rotation_error_deg
0,38800000000,3.037,0.4676757804339678,0.02947948124409428,0.2071495704541966,-0.41825907192880085,79.86975434159957
1,38900000000,3.137,0.4675928730967917,0.02945903635867998,0.20711811554691778,-0.41818338843146785,79.86985397429464
2,39000000000,3.237,0.4670363940297028,0.029354891908188754,0.20690672699060794,-0.41767318563125455,79.87075686967908
3,39100000000,3.337,0.465595119262647,0.02906346936588861,0.20634953172237144,-0.41635801972289976,79.87304849754099
4,39200000000,3.437,0.46290172035200866,0.0286417328441389,0.20530668218436507,-0.4138922807869003,79.87721852682616
5,39300000000,3.537,0.45885455441449935,0.02782260928676799,0.20374834858919394,-0.4101950937865797,79.88390390890096
6,39400000000,3.637,0.4583788421063392,0.02504864031761789,0.20275826980873127,-0.4103325633351034,79.89962475390446
7,39500000000,3.737,0.45747368349645734,0.020778396622791892,0.2013975854883243,-0.41023096163633954,79.91858301284603
8,39600000000,3.837,0.4232150472742304,0.023094051459359985,0.19290236622475035,-0.37598712495431785,79.88653445169308
9,39800000000,4.037,0.37928113120612655,0.019164107473198647,0.17949576243564652,-0.33356886056914936,79.88142932570179
10,39900000000,4.137,0.3785801626643565,0.01733236518402853,0.17641700446972594,-0.3345139297757671,79.88998816081333
11,40100000000,4.337,0.3396331305037219,0.014818245439767064,0.16146708978265914,-0.29842831945873316,79.9007954997517
12,40300000000,4.537,0.2659159557442847,0.009687060269344405,0.14018963507016985,-0.22575279090551037,79.90432220724973
13,40500000000,4.737,0.22686248863502526,0.004659931737896528,0.12372459756488884,-0.19009760057213088,79.89510964471461
14,40700000000,4.937,0.16973566820588412,0.00027039561793079647,0.09896120558498833,-0.13790142760926538,79.7401691850269
15,40900000000,5.137,0.13682074715414932,-0.004236663719065781,0.08360869547053494,-0.10821993150093268,79.62889942040019
16,41100000000,5.337,0.14304733110553047,-0.002944385984084308,0.0819388350342356,-0.11721730606367098,79.68199298446736
17,41300000000,5.537,0.17390107291553622,-0.002119211677770849,0.08343734894685295,-0.1525624491929798,79.693060215574
18,41500000000,5.737,0.23410711748649832,0.0028005797826937684,0.09859848090116337,-0.21231259683471637,79.71230063570442
19,41700000000,5.937,0.33557051211017047,0.01087982509485197,0.11544566869637943,-0.31489918320477317,79.85936125831164
20,41900000000,6.137,0.4642196672411572,0.017625261679649507,0.13747552837253812,-0.44304596680582264,79.96027430398176
21,42100000000,6.337,0.5532854217322335,0.024342331170242426,0.14880980694422585,-0.5323418546120866,79.76296555473418
22,42300000000,6.537,0.586824189607806,0.02928418523802978,0.15361997378400777,-0.5656023069776182,79.8297464716903
23,42500000000,6.737,0.5759943141942986,0.028030566546640268,0.1488126699685978,-0.5557324235457671,79.94085956833351
24,42700000000,6.937,0.5248143756532764,0.02693186614778642,0.12692212909626152,-0.5085229361826347,80.06880296869248
25,42900000000,7.137,0.48556292000771667,0.03635688506217083,0.1598909984112219,-0.4570387235476432,80.25187314481272
26,43100000000,7.337,0.41817004089769355,0.03674237390926949,0.14523165954106593,-0.3904150946503453,80.42757994959352
