start_timestamp_ns,end_timestamp_ns,start_relative_s,end_relative_s,actual_delta_ns,delta_mismatch_ns,translation_error_m
38800000000,39800000000,3.037,4.037,1000000000,0,0.0821393085770539
38900000000,39900000000,3.137,4.137,1000000000,0,0.08029917489951974
39100000000,40100000000,3.337,4.337,1000000000,0,0.11281881861412231
39300000000,40300000000,3.537,4.537,1000000000,0,0.1776668552895678
39500000000,40500000000,3.737,4.737,1000000000,0,0.21057677726074156
39900000000,40900000000,4.137,5.137,1000000000,0,0.21892853079877583
40100000000,41100000000,4.337,5.337,1000000000,0,0.1734811311785493
40300000000,41300000000,4.537,5.537,1000000000,0,0.0661547792506466
40500000000,41500000000,4.737,5.737,1000000000,0,0.03131360761496195
40700000000,41700000000,4.937,5.937,1000000000,0,0.1874307872391553
40900000000,41900000000,5.137,6.137,1000000000,0,0.3458035596308061
41100000000,42100000000,5.337,6.337,1000000000,0,0.4225574637867899
41300000000,42300000000,5.537,6.537,1000000000,0,0.4127143381695274
41500000000,42500000000,5.737,6.737,1000000000,0,0.3264857808030545
41700000000,42700000000,5.937,6.937,1000000000,0,0.15273518565846508
41900000000,42900000000,6.137,7.137,1000000000,0,0.09158908215104401
42100000000,43100000000,6.337,7.337,1000000000,0,0.2545704298371614
42300000000,43300000000,6.537,7.537,1000000000,0,0.36575758153365245
42500000000,43500000000,6.737,7.737,1000000000,0,0.4298538221327918
42700000000,43700000000,6.937,7.937,1000000000,0,0.43868452320780654
42900000000,43900000000,7.137,8.137,1000000000,0,0.43493631695515
43100000000,44100000000,7.337,8.337,1000000000,0,0.39506641448985347
43300000000,44300000000,7.537,8.537,1000000000,0,0.3330862569670341
43500000000,44500000000,7.737,8.737,1000000000,0,0.22288665748988587
43700000000,44700000000,7.937,8.937,1000000000,0,0.0975167714253221
43900000000,44900000000,8.137,9.137,1000000000,0,0.08606287744936471
44100000000,45100000000,8.337,9.337,1000000000,0,0.17754125183270067
44300000000,45300000000,8.537,9.537,1000000000,0,0.2231078719340819
44500000000,45500000000,8.737,9.737,1000000000,0,0.2153542450751234
44700000000,45700000000,8.937,9.937,1000000000,0,0.15927589803579253
44900000000,45900000000,9.137,10.137,1000000000,0,0.08631335461698571
46000000000,47000000000,10.237,11.237,1000000000,0,0.31602217161797236
47000000000,48000000000,11.237,12.237,1000000000,0,0.6086931236617268
48000000000,49000000000,12.237,13.237,1000000000,0,0.19356121595198014
48200000000,49200000000,12.437,13.437,1000000000,0,0.34471185354377
48400000000,49400000000,12.637,13.637,1000000000,0,0.4630477879846534
48600000000,49600000000,12.837,13.837,1000000000,0,0.5629289520198334
48800000000,49800000000,13.037,14.037,1000000000,0,0.5987049443008275
49000000000,50000000000,13.237,14.237,1000000000,0,0.5630929875179661
50500000000,51500000000,14.737,15.737,1000000000,0,0.28433059630092145
50900000000,51900000000,15.137,16.137,1000000000,0,0.38324912044230247
51200000000,52200000000,15.437,16.437,1000000000,0,0.48959046618867885
51900000000,52900000000,16.137,17.137,1000000000,0,0.6977561936830826
52700000000,53700000000,16.937,17.937,1000000000,0,0.4801286798398304
