epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1578.08,1.87583,4.11411,0.01496,0.2903,0.17668,0.16109,0.08337,1.68904,2.95436,0.01645,0.00333173,0.00333173,0.0700144
2,2624.49,1.86422,3.00943,0.01469,0.31483,0.24694,0.19641,0.09503,1.79424,2.78541,0.01801,0.00659908,0.00659908,0.0399485
3,3973.24,1.92641,2.92531,0.01546,0.32512,0.2662,0.19139,0.0852,1.92066,2.8791,0.02038,0.00980043,0.00980043,0.00981648
4,5946.35,1.9893,2.92087,0.01637,0.35005,0.25565,0.22178,0.10278,1.89431,2.75099,0.01979,0.009703,0.009703,0.009703
5,6897.99,1.96124,2.82895,0.01615,0.37728,0.28007,0.2524,0.12297,1.8141,2.53237,0.01858,0.009604,0.009604,0.009604
6,7895.11,1.9476,2.76076,0.01562,0.34801,0.30833,0.24476,0.11604,1.83754,2.51543,0.01926,0.009505,0.009505,0.009505
7,8944.19,1.91672,2.71553,0.01525,0.35551,0.28774,0.25685,0.13071,1.79041,2.52159,0.01857,0.009406,0.009406,0.009406
8,9929.17,1.89918,2.6605,0.01531,0.3615,0.2892,0.25471,0.12815,1.82255,2.45643,0.01859,0.009307,0.009307,0.009307
9,11068.5,1.88719,2.64496,0.01501,0.38979,0.31284,0.27586,0.14076,1.80434,2.43295,0.01856,0.009208,0.009208,0.009208
10,11981.6,1.87118,2.59527,0.01491,0.4034,0.32427,0.2994,0.15386,1.74581,2.38171,0.01747,0.009109,0.009109,0.009109
11,12899.8,1.85341,2.55912,0.01456,0.38099,0.32218,0.27649,0.14446,1.75008,2.34668,0.0178,0.00901,0.00901,0.00901
12,13821.6,1.8503,2.54616,0.01461,0.4,0.33841,0.30843,0.15966,1.72458,2.34301,0.01786,0.008911,0.008911,0.008911
13,14769.1,1.84499,2.5049,0.01443,0.40551,0.33834,0.30211,0.15252,1.74809,2.29462,0.01778,0.008812,0.008812,0.008812
14,15692.3,1.83271,2.48796,0.01436,0.42241,0.33667,0.32502,0.17125,1.70062,2.22955,0.01697,0.008713,0.008713,0.008713
15,16608.7,1.82693,2.45661,0.01417,0.39921,0.33398,0.30089,0.15669,1.71266,2.24144,0.01709,0.008614,0.008614,0.008614
16,17547.3,1.81262,2.42855,0.0142,0.39534,0.35203,0.3058,0.15909,1.70214,2.22816,0.01723,0.008515,0.008515,0.008515
17,18664.5,1.82438,2.43302,0.01421,0.41006,0.35923,0.32258,0.17216,1.69128,2.22106,0.01692,0.008416,0.008416,0.008416
18,19755.9,1.81623,2.42278,0.014,0.46102,0.36603,0.34615,0.1821,1.67544,2.19815,0.01656,0.008317,0.008317,0.008317
19,21057.5,1.7987,2.38247,0.01383,0.40103,0.37087,0.32904,0.17205,1.68516,2.20894,0.01678,0.008218,0.008218,0.008218
20,21989.3,1.79501,2.38615,0.01381,0.41884,0.35242,0.32765,0.17202,1.68546,2.19363,0.01665,0.008119,0.008119,0.008119
21,22920.8,1.78363,2.36142,0.01367,0.43474,0.36204,0.3408,0.18149,1.67151,2.18069,0.01645,0.00802,0.00802,0.00802
22,23852.4,1.79479,2.34836,0.01379,0.42733,0.35497,0.33568,0.17911,1.65724,2.20889,0.01632,0.007921,0.007921,0.007921
23,24783.1,1.78817,2.33829,0.01354,0.39876,0.37336,0.33176,0.17774,1.68717,2.1847,0.01674,0.007822,0.007822,0.007822
24,25715.2,1.77253,2.32109,0.01352,0.43268,0.36459,0.34243,0.18373,1.66152,2.16947,0.01618,0.007723,0.007723,0.007723
25,26645.7,1.77477,2.29401,0.0134,0.41639,0.36952,0.3334,0.17436,1.66907,2.1516,0.01635,0.007624,0.007624,0.007624
26,27579,1.76389,2.29645,0.01328,0.43184,0.35311,0.33839,0.18428,1.6658,2.1369,0.01622,0.007525,0.007525,0.007525
27,28514.4,1.76373,2.27111,0.01332,0.43259,0.37641,0.35168,0.19246,1.65341,2.11226,0.01614,0.007426,0.007426,0.007426
28,29445.8,1.76064,2.25054,0.0134,0.43478,0.3897,0.36205,0.19579,1.64801,2.10584,0.01631,0.007327,0.007327,0.007327
29,30376.9,1.74875,2.23187,0.01328,0.4221,0.3933,0.34639,0.18664,1.65434,2.11948,0.01615,0.007228,0.007228,0.007228
30,31315.1,1.74331,2.23218,0.01306,0.44643,0.35978,0.3487,0.18576,1.64707,2.14293,0.01627,0.007129,0.007129,0.007129
31,32246.9,1.73787,2.21414,0.01325,0.41835,0.37854,0.34348,0.18711,1.6381,2.11321,0.01623,0.00703,0.00703,0.00703
32,33176.3,1.73321,2.20013,0.01317,0.4581,0.3744,0.36454,0.20029,1.64555,2.08251,0.01602,0.006931,0.006931,0.006931
33,34107.5,1.72182,2.18298,0.01296,0.45344,0.39182,0.37047,0.20199,1.62894,2.05785,0.01592,0.006832,0.006832,0.006832
34,35038,1.73076,2.16033,0.01275,0.45266,0.38932,0.36182,0.19817,1.6329,2.06685,0.01591,0.006733,0.006733,0.006733
35,35970,1.73532,2.15514,0.01297,0.44427,0.39843,0.36542,0.19862,1.62935,2.08839,0.0158,0.006634,0.006634,0.006634
36,36902.2,1.71295,2.14136,0.01292,0.436,0.39811,0.35396,0.19541,1.62492,2.09401,0.01566,0.006535,0.006535,0.006535
37,37833.8,1.72066,2.12633,0.0129,0.42999,0.40369,0.36231,0.19789,1.62993,2.05812,0.01593,0.006436,0.006436,0.006436
38,38765.1,1.70474,2.11559,0.01273,0.45718,0.39753,0.37589,0.20768,1.6136,2.07679,0.01588,0.006337,0.006337,0.006337
39,39697.5,1.70713,2.10644,0.01262,0.4531,0.3962,0.37607,0.2096,1.61471,2.0469,0.01557,0.006238,0.006238,0.006238
40,40630.2,1.68995,2.08476,0.01252,0.44676,0.3931,0.37046,0.20542,1.62048,2.05018,0.01563,0.006139,0.006139,0.006139
41,41560.7,1.70437,2.09497,0.01272,0.42991,0.38786,0.36258,0.20352,1.60923,2.04441,0.01556,0.00604,0.00604,0.00604
42,42494.9,1.69726,2.07724,0.01264,0.43053,0.40065,0.37101,0.20568,1.61531,2.05688,0.01575,0.005941,0.005941,0.005941
43,43428.7,1.69177,2.05507,0.01263,0.45257,0.39691,0.37015,0.20504,1.61934,2.04951,0.01568,0.005842,0.005842,0.005842
44,44363.8,1.67823,2.04685,0.01241,0.44564,0.40382,0.37347,0.20669,1.6138,2.06133,0.01565,0.005743,0.005743,0.005743
45,45295.8,1.67939,2.03815,0.01228,0.44693,0.40407,0.37103,0.20492,1.61638,2.03612,0.01545,0.005644,0.005644,0.005644
46,46228.3,1.68015,2.02567,0.01241,0.45434,0.41963,0.38049,0.21008,1.6039,2.06138,0.01527,0.005545,0.005545,0.005545
47,47160.1,1.67263,2.01134,0.01217,0.44612,0.40973,0.3746,0.20634,1.60847,2.05334,0.01551,0.005446,0.005446,0.005446
48,48093.3,1.67042,2.00224,0.01206,0.46703,0.40857,0.383,0.21307,1.61273,2.03968,0.01551,0.005347,0.005347,0.005347
49,49032.2,1.66895,1.97994,0.01214,0.46126,0.40222,0.37628,0.20997,1.61845,2.07025,0.01563,0.005248,0.005248,0.005248
50,49965,1.66534,1.97366,0.01219,0.47033,0.39943,0.37668,0.21018,1.60487,2.05613,0.01546,0.005149,0.005149,0.005149
51,50900.2,1.67011,1.9523,0.01208,0.48075,0.40009,0.38455,0.21437,1.60773,2.03429,0.01545,0.00505,0.00505,0.00505
52,51853.6,1.64232,1.93249,0.01205,0.45107,0.41333,0.37734,0.20999,1.61182,2.04816,0.01541,0.004951,0.004951,0.004951
53,52786.9,1.63665,1.91448,0.01198,0.46973,0.41009,0.38163,0.21219,1.61062,2.03703,0.01521,0.004852,0.004852,0.004852
54,53718.2,1.65063,1.91674,0.01189,0.46569,0.41024,0.37867,0.20902,1.62246,2.05903,0.01556,0.004753,0.004753,0.004753
55,54653.3,1.64068,1.9092,0.01183,0.45363,0.41641,0.38242,0.21276,1.61502,2.05828,0.01553,0.004654,0.004654,0.004654
56,55586.9,1.62651,1.88521,0.01188,0.47234,0.40867,0.38258,0.21391,1.61583,2.04374,0.0155,0.004555,0.004555,0.004555
57,56518.2,1.62212,1.87214,0.01173,0.47736,0.39989,0.38181,0.21424,1.60935,2.03918,0.01535,0.004456,0.004456,0.004456
58,57449.3,1.62563,1.86385,0.01168,0.44731,0.42398,0.37591,0.21015,1.61106,2.05378,0.01536,0.004357,0.004357,0.004357
59,58385.6,1.62192,1.85057,0.01166,0.45775,0.421,0.38423,0.21439,1.6166,2.06387,0.01547,0.004258,0.004258,0.004258
60,59342.7,1.62002,1.83843,0.01165,0.49097,0.40809,0.38868,0.21571,1.62233,2.06724,0.0155,0.004159,0.004159,0.004159
61,60305.9,1.60676,1.81343,0.01142,0.48009,0.4126,0.38483,0.21543,1.61581,2.05821,0.01541,0.00406,0.00406,0.00406
62,61263.8,1.6073,1.82505,0.01136,0.46749,0.41435,0.38836,0.21702,1.6183,2.07933,0.01552,0.003961,0.003961,0.003961
63,62221.8,1.60262,1.79582,0.01135,0.46917,0.41064,0.38097,0.21114,1.6323,2.08722,0.01572,0.003862,0.003862,0.003862
64,63181.1,1.60126,1.79005,0.0115,0.44628,0.42762,0.38064,0.21269,1.61685,2.07663,0.0155,0.003763,0.003763,0.003763
65,64256.1,1.58997,1.75973,0.01132,0.47092,0.40731,0.3812,0.21389,1.62719,2.06398,0.01555,0.003664,0.003664,0.003664
66,65355.7,1.58802,1.75188,0.01126,0.45302,0.41585,0.37973,0.21216,1.62294,2.08977,0.01553,0.003565,0.003565,0.003565
67,66383.3,1.59239,1.74833,0.01118,0.46925,0.41059,0.37785,0.21011,1.62378,2.10611,0.01554,0.003466,0.003466,0.003466
68,67324.1,1.58313,1.73707,0.01109,0.46669,0.4096,0.37596,0.2074,1.62877,2.10817,0.01564,0.003367,0.003367,0.003367
69,68265,1.56956,1.71379,0.0111,0.45374,0.41734,0.37822,0.20991,1.62986,2.10994,0.01549,0.003268,0.003268,0.003268
70,69209.4,1.57053,1.69256,0.01114,0.45556,0.41204,0.37755,0.20861,1.63266,2.10406,0.01564,0.003169,0.003169,0.003169
71,70156.9,1.5836,1.69264,0.01102,0.45859,0.40483,0.37484,0.20855,1.63451,2.11173,0.01557,0.00307,0.00307,0.00307
72,71102.6,1.56886,1.67225,0.01103,0.47436,0.40313,0.38141,0.21223,1.64712,2.11518,0.01576,0.002971,0.002971,0.002971
73,72045.6,1.56157,1.66746,0.01103,0.45304,0.40831,0.37647,0.20976,1.64236,2.11195,0.01571,0.002872,0.002872,0.002872
74,72972.2,1.55515,1.64862,0.0109,0.46608,0.4032,0.37857,0.20846,1.64518,2.11246,0.01578,0.002773,0.002773,0.002773
75,73912.3,1.54854,1.64169,0.01096,0.46433,0.40425,0.3757,0.20826,1.64102,2.11451,0.01565,0.002674,0.002674,0.002674
76,74863,1.54963,1.62776,0.01083,0.47928,0.41257,0.3819,0.2091,1.63781,2.12713,0.01556,0.002575,0.002575,0.002575
77,75818.8,1.54561,1.61237,0.01081,0.4743,0.41579,0.38375,0.21066,1.63515,2.1376,0.01553,0.002476,0.002476,0.002476
78,76767.2,1.5364,1.60287,0.01069,0.46095,0.42903,0.38651,0.21155,1.63494,2.13647,0.01555,0.002377,0.002377,0.002377
79,78286.8,1.52932,1.57066,0.01055,0.48085,0.41947,0.38676,0.21198,1.64265,2.14889,0.01566,0.002278,0.002278,0.002278
80,79311.4,1.53367,1.57644,0.01065,0.46959,0.41691,0.37981,0.20856,1.64646,2.16527,0.01568,0.002179,0.002179,0.002179
81,80271.7,1.52145,1.55914,0.01065,0.45415,0.42365,0.38006,0.20818,1.64215,2.17928,0.01573,0.00208,0.00208,0.00208
82,81217.1,1.51693,1.54053,0.01053,0.45903,0.41576,0.38061,0.2069,1.65211,2.18862,0.01581,0.001981,0.001981,0.001981
83,82194.2,1.51031,1.53002,0.01051,0.44326,0.41875,0.37945,0.20653,1.65577,2.18771,0.0159,0.001882,0.001882,0.001882
84,83166,1.5097,1.51288,0.01038,0.43985,0.42565,0.38025,0.20681,1.65277,2.19155,0.01588,0.001783,0.001783,0.001783
85,84134.5,1.5137,1.51104,0.01037,0.44741,0.42161,0.3786,0.20554,1.65836,2.18594,0.01594,0.001684,0.001684,0.001684
86,85118.5,1.50411,1.5029,0.01025,0.45818,0.41345,0.38009,0.20632,1.65566,2.20086,0.01594,0.001585,0.001585,0.001585
87,86085.2,1.49407,1.47566,0.01043,0.46706,0.40631,0.37878,0.20579,1.65554,2.20812,0.0159,0.001486,0.001486,0.001486
88,87082.2,1.48764,1.47964,0.01015,0.46083,0.41227,0.37739,0.20461,1.65411,2.22152,0.01584,0.001387,0.001387,0.001387
89,88052.5,1.48605,1.46594,0.01018,0.45702,0.41201,0.37559,0.20417,1.65553,2.22761,0.01588,0.001288,0.001288,0.001288
